OBJECTID,Latitude,Longitude,Initial Source SIT209 Record Date,Incident Name,Incident Number,100% Contained?,IMT Type Assigned (Highest-level),Geographic Area,New to IMSR,IMSR Post Date (ISO Format),IRWIN ID,IRWIN Fire Discovery Date Time,Most Recent Date Posted Flag,Occurrence,Incident Size (Acres),NWCG UniqueFireIdentifier,x,y
19441,27.004,-80.306,3/23/2023 12:00:00 AM,Hungryland_(43),FL-FLS-231600192,,,SAC,y,20230331,065266c7-30f8-4247-a940-882bf184dc7e,3/23/2023 5:00:00 PM,,LAST,800,2023-FLFLS-231600192,-80.306,27.0040000000001
19442,27.774,-81.32,3/30/2023 12:00:00 AM,RIGHT_GATE,FL-FLS-231400223,c,,SAC,y,20230331,a2e8f70c-8c9e-40f5-87c1-8f09c235fa83,3/28/2023 6:50:00 PM,,ONLY,1000,2023-FLFLS-231400223,-81.3199999999999,27.7740000000001
19443,33.126,-89.417,3/23/2023 12:00:00 AM,Attala_-_4432_County_Road_5006,MS-MSS-009195,c,,SAC,y,20230331,feb8d6e4-4d90-4b6a-b4bf-cac95c3290ee,3/23/2023 3:30:00 PM,,ONLY,645,2023-MSMSS-009195,-89.417,33.126
19444,29.323,-82.027,3/4/2023 12:00:00 AM,Gooskie,FL-FLS-000002,c,,SAC,,20230331,3bdfa673-e6e1-4e7d-8f29-99e3826c0835,3/2/2023 7:42:00 PM,,LAST,607,2023-FLFLS-000002,-82.027,29.323
19445,35.413,-96.144,3/19/2023 12:00:00 AM,BEAVER,OK-OMA-000585,c,,SAC,,20230331,829a74a5-0f4b-4201-9765-c3fd02c8eb4d,3/19/2023 9:00:00 PM,,LAST,603,2023-OKOMA-000585,-96.144,35.4130000000001
19446,35.493,-102.138,3/29/2023 12:00:00 AM,Chuckwagon,TX-TXS-231165,,,SAC,y,20230331,c03de8aa-1bc8-4aa9-9712-a1074f4ce723,3/29/2023 6:28:01 PM,,ONLY,349,2023-TXTXS-231165,-102.138,35.4930000000001
19447,38.041,-82.894,3/28/2023 12:00:00 AM,Buffalo_Branch_Road,KY-KYS-231270488,c,,SAC,y,20230331,4a3ed272-8fc3-4118-9878-b322f5db2291,3/27/2023 7:42:00 PM,,ONLY,200,2023-KYKYS-231270488,-82.8939999999999,38.0410000000001
19448,32.868,-91.974,3/28/2023 12:00:00 AM,Forgotten,LA-LAS-000116,c,,SAC,y,20230331,7a394b86-354e-4e03-98ac-543d46377017,3/28/2023 6:30:00 PM,,ONLY,156,2023-LALAS-000116,-91.974,32.8680000000001
19449,30.925,-93.463,3/23/2023 12:00:00 AM,Lower_Loftin,LA-LAS-000109,c,,SAC,y,20230331,42055b48-ac10-4827-8941-86c3421718b7,3/23/2023 7:15:00 PM,,ONLY,129.6,2023-LALAS-000109,-93.463,30.9250000000001
19450,37.527,-83.042,3/27/2023 12:00:00 AM,Evanston,KY-KYS-230250481,c,,SAC,y,20230331,88b99e74-c666-4ef4-984d-8b3305fd4cc6,3/27/2023 6:48:00 PM,,ONLY,124,2023-KYKYS-230250481,-83.042,37.5270000000001
19451,29.187,-81.227,3/27/2023 12:00:00 AM,PINE_WOOD,FL-FLS-000005,c,,SAC,y,20230331,3a8c0779-4b10-4518-a73b-f9dea1f4a410,3/26/2023 4:07:00 PM,,ONLY,111,2023-FLFLS-000005,-81.227,29.1870000000001
19452,37.904,-83.03,3/29/2023 12:00:00 AM,Upper_Sand_Lick_Road_-_Morgan_County,KY-KYS-231750535,c,,SAC,y,20230331,8c225316-b610-4784-b37a-53fc9613fbcb,3/29/2023 5:34:00 PM,,ONLY,103,2023-KYKYS-231750535,-83.03,37.9040000000001
19453,37.315,-82.73,3/27/2023 12:00:00 AM,Frozen_Fork,KY-KYS-230710474,c,,SAC,y,20230331,e7333cb4-d665-4039-b761-de5511e62f15,3/27/2023 5:09:00 PM,,ONLY,100,2023-KYKYS-230710474,-82.73,37.3150000000001
19454,34.163,-88.455,3/26/2023 12:00:00 AM,Green_and_Deer_Trail_Road,MS-MSS-009192,c,,SAC,y,20230331,6cc47771-97c5-4c1e-a63c-2a8f1946031f,3/26/2023 7:15:00 PM,,ONLY,100,2023-MSMSS-009192,-88.455,34.1630000000001
19455,31.122,-89.11,3/20/2023 12:00:00 AM,Toms_Camp,MS-MNF-000205,c,,SAC,,20230331,81908463-c64b-489e-a8ce-39ea60c7a38d,3/20/2023 6:06:24 PM,,LAST,2572,2023-MSMNF-000205,-89.11,31.1220000000001
19456,31.155,-89.153,3/23/2023 12:00:00 AM,Lane_6,MS-MNF-000222,c,,SAC,,20230331,1c42915a-c38a-4d6f-8caa-cb3e682e11e4,3/23/2023 1:08:38 AM,,LAST,653,2023-MSMNF-000222,-89.153,31.155
19493,26.114,-80.843,4/6/2023 12:00:00 AM,MILE_MARKER_48,FL-FLS-231800046,,,SAC,y,20230407,140251bb-2b5f-40fa-8787-8fed4c76364c,4/5/2023 7:15:00 PM,,ONLY,1500,2023-FLFLS-231800046,-80.843,26.114
19494,35.541,-98.811,4/4/2023 12:00:00 AM,Route_66,OK-OKS-230169,,,SAC,y,20230407,2c3ecbb2-979f-420a-875d-00c738fd754a,4/4/2023 4:59:00 PM,,ONLY,1584,2023-OKOKS-230169,-98.811,35.5410000000001
19495,36.693,-96.005,4/4/2023 12:00:00 AM,Gap_Road,OK-OKS-230150,,,SAC,y,20230407,6a71c355-0673-40a7-8d95-1161bbd2d9fc,3/31/2023 6:30:00 PM,,LAST,4416,2023-OKOKS-230150,-96.0049999999999,36.693
19496,35.748,-97.528,4/3/2023 12:00:00 AM,Simpson,OK-OKS-230148,,,SAC,y,20230407,80127206-2f65-40e8-89ee-d408fa42570e,3/31/2023 6:47:00 PM,,LAST,3392,2023-OKOKS-230148,-97.528,35.748
19497,36.998,-83.352,4/4/2023 12:00:00 AM,Elk_Road_3,KY-KYS-231310866,c,,SAC,,20230407,dd8869ee-e990-4970-a314-f50461d23ef8,4/4/2023 7:11:00 PM,,ONLY,130,2023-KYKYS-231310866,-83.352,36.998
19498,35.662,-94.487,4/2/2023 12:00:00 AM,Middle_Point_Fire,OK-OKS-230161,,,SAC,y,20230407,14ffb24f-c76e-4a10-9358-c86bde5e4840,4/2/2023 8:30:00 PM,,ONLY,370,2023-OKOKS-230161,-94.487,35.662
19499,36.801,-96.003,4/1/2023 12:00:00 AM,BAR_DEW,OK-OSA-000751,c,,SAC,y,20230407,a119fe3d-2037-41d3-acf0-ea47233663e6,3/31/2023 7:00:00 PM,,ONLY,990,2023-OKOSA-000751,-96.003,36.801
19500,36.52,-96.53,3/28/2023 12:00:00 AM,NORTH_GOAD,OK-OSA-000654,c,,SAC,y,20230407,6cccca16-4fff-4307-bd39-acaada35266a,3/27/2023 7:06:00 PM,,ONLY,1806,2023-OKOSA-000654,-96.53,36.52
19501,31.834,-105.912,4/5/2023 12:00:00 AM,Loma_Desert,TX-TXS-231336,c,,SAC,y,20230407,b6c90903-d9b1-47d5-9188-e839fa2ff45d,4/5/2023 12:34:52 AM,,ONLY,1946,2023-TXTXS-231336,-105.912,31.8340000000001
19502,34.014,-102.719,4/5/2023 12:00:00 AM,Jenny_Slipper,TX-TXS-231326,c,,SAC,y,20230407,1f86acbf-46dc-4598-886e-bbcca9fd84f9,4/4/2023 7:08:24 PM,,ONLY,947,2023-TXTXS-231326,-102.719,34.0140000000001
19503,34.933,-88.724,4/2/2023 12:00:00 AM,Hwy_72_and_Co_Rd_608,MS-MSS-009265,,,SAC,y,20230407,63f83595-d963-41a0-92da-79d1c585d074,4/2/2023 5:45:00 PM,,ONLY,113,2023-MSMSS-009265,-88.724,34.933
19504,36.787,-95.99,4/4/2023 12:00:00 AM,Virginia,OK-OKS-230158,c,,SAC,y,20230407,b5bc781d-1545-41d8-bb36-7c4271e47793,3/31/2023 8:35:00 PM,,LAST,1472,2023-OKOKS-230158,-95.99,36.787
19505,36.947,-95.899,3/31/2023 12:00:00 AM,Cotton_Creek_Fire,OK-OKS-230160,,,SAC,y,20230407,454e0ffb-7eea-461d-a56f-923ecd7de08a,3/31/2023 6:15:00 PM,,ONLY,428,2023-OKOKS-230160,-95.8989999999999,36.9470000000001
19506,35.997,-84.963,4/1/2023 12:00:00 AM,Pine_Grove_Road,TN-TNS-230800,,,SAC,y,20230407,b110908e-65b0-401b-955b-c75846ec847d,4/1/2023 8:03:00 PM,,LAST,150,2023-TNTNS-230800,-84.963,35.9970000000001
19507,30.541,-86.759,4/4/2023 12:00:00 AM,Center_Line/Left,FL-EAQ-000048,c,,SAC,y,20230407,1b61d395-7a56-4351-b166-89bddbc7505e,3/31/2023,,ONLY,704,2023-FLEAQ-000048,-86.759,30.5410000000001
